name,n_chars,n_sub
Q4,265,1
Q5,259,4
Q6,212,1
Q7,250,1
Q8,382,1
Q10,563,7
Q11a,152,1
Q11b,114,1
Q11c,115,1
Q11d,141,1
Q12,526,7
Q13,465,9
Q14a,299,1
Q14b,288,1
Q15,114,1
Q16,232,1
Q17a,111,1
Q17b,196,1
Q19a,144,1
Q19b,78,1
Q20,76,1
Q21,186,3
Q22,250,3
Multitasking1,184,1
Multitasking2,115,1
Multitasking3,44,1
Multitasking4,146,1
Multitasking5,235,1
Multitasking6,166,1
Multitasking7,143,1
Multitasking8,106,1
Multitasking9,141,1
Distraction1,158,1
Distraction2,166,1
Distraction3,326,1
device,125,1
english,79,1
